address,city,rn_wage,zip,facility_name,medicaid,private_pay,total_hours,street,medicare,fname,rn_hours,idph_id,lat,lon
108 South First St Bloomingdale IL 60108,Bloomingdale,32.83,60108,Alden of Old Town East,1072373,162868,5722,108 South First St,0,alden_of_old_town_east_2014_0042069.xml.xml,3212,42069,41.956643,-88.079869
118 S Bloomingdal Rd Bloomingdale IL 60108,Bloomingdale,32.82,60108,Alden of Old Town West,1335622,0,5824,118 S Bloomingdal Rd,0,alden_of_old_town_west_2014_0042077.xml.xml,3213,42077,41.955715,-88.081137
2021 Randi Drive Aurora IL 60504,Aurora,29.45,60504,Alden of Waterford,1626872,750358,27192,2021 Randi Drive,6530805,alden_of_waterford_2014_0042036.xml.xml,35445,42036,41.737261,-88.269422
16450 S 97th Avenue Orland Park IL 60462,Orland Park,33.22,60462,Alden Orland Prk Rehab & HCC,1654048,2008681,50613,16450 S 97th Avenue,15034976,alden_orland_park_rehab_hcc_2014_0042192.xml.xml,40708,42192,41.592818,-87.854798
5668 Strathmoor Dr Rockford IL 61107,Rockford,32.59,61107,Alden Park Strathmoor,7620752,719613,53168,5668 Strathmoor Dr,1548913,alden_park_strathmoor_2014_0044909.xml.xml,23870,44909,42.269995,-89.005893
1545 Barrington Road Hoffman Estates IL 60194,Hoffman Estates,34.94,60194,Alden Poplar Creek Reh & HCC,6843115,1937927,64738,1545 Barrington Road,5879201,alden_poplar_creek_rehab_hcc_2014_0032896.xml.xml,36585,32896,42.028461,-88.144662
255 West 69th Street Chicago IL 60621,Chicago,29.34,60621,Alden Princeton Rehab & HCC,8283362,150647,61427,255 West 69th Street,2245263,alden_princeton_rehab_hcc_2014_0036244.xml.xml,18194,36244,41.76898,-87.631398
207 E Army Trail Rd Bloomingdale IL 60108,Bloomingdale,38.19,60108,Alden Springs,1186480,0,5570,207 E Army Trail Rd,0,alden_springs_2014_0047191.xml.xml,2687,47191,41.936645,-88.075867
803 Royal Drive McHenry IL 60050,McHenry,30.36,60050,Alden Terrace of McHenry Reh,4538354,641711,44521,803 Royal Drive,1680747,alden_terrace_of_mchenry_rehab_2014_0040691.xml.xml,24550,40691,42.339142,-88.288255
6120 West Ogden Cicero IL 60804,Cicero,29.2,60804,Alden Town Manor Rehab & HCC,9287975,666032,66438,6120 West Ogden,2409694,alden_town_manor_rehab_hcc_2014_0038000.xml.xml,23220,38000,41.832879,-87.776111
273 Army Trails Road Bloomingdale IL 60108,Bloomingdale,38.19,60108,Alden Trails,1170529,0,5586,273 Army Trails Road,0,alden_trails_2014_0042051.xml.xml,2688,42051,41.935203,-88.063178
275 E Army Trail Rd Bloomingdale IL 60108,Bloomingdale,33.41,60108,Alden Valley Ridge Reh & HCC,7928718,1242533,67322,275 E Army Trail Rd,2537851,alden_valley_ridge_rehab_hcc_2014_0036640.xml.xml,26295,36640,41.935204,-88.063218
267 East Lake Street Bloomingdale IL 60108,Bloomingdale,30.2,60108,Alden Village Hlth Facility,9096360,4813,44271,267 East Lake Street,0,alden_village_health_facility_2014_0038455.xml.xml,27348,38455,41.957133,-88.064243
7464 N Sheridan Road Chicago IL 60626,Chicago,32.65,60626,Alden Village North,5789573,71873,29353,7464 N Sheridan Road,0,alden_village_north_2014_0049122.xml.xml,17663,49122,42.017618,-87.665625
201 West 69th Street Chicago IL 60621,Chicago,29.98,60621,Alden Wentworth Rehab & HCC,9986291,144629,78166,201 West 69th Street,2470791,alden_wentworth_rehab_hcc_2014_0026435.xml.xml,20220,26435,41.769081,-87.629858
304 SW 12th Street Aledo IL 61231,Aledo,23.8,61231,Aledo Rehab & Hlth Care Ctr,1625936,809681,21726,304 SW 12th Street,152228,aledo_rehab_health_care_ctr_2014_0051300.xml.xml,7626,51300,41.191777,-90.752292
417 East Main Bx 310 Alhambra IL 62001,Alhambra,24.38,62001,Alhambra Care Center,793613,1077277,19828,417 East Main Bx 310,282586,alhambra_care_center_2014_0045609.xml.xml,5207,45609,38.88841,-89.729768
5448 N Broadway St Chicago IL 60640,Chicago,29.07,60640,All American Nursing Home,6372941,150,48411,5448 N Broadway St,0,all_american_nursing_home_2014_0026294.xml.xml,4444,26294,41.980863,-87.660063
1701 18th Street Charleston IL 61920,Charleston,0,61920,Alpha Community House,0,0,5088,1701 18th Street,0,alpha_community_house_2014_0031161.xml.xml,0,31161,39.482478,-88.162902
3650 North Alpine Rd Rockford IL 61114,Rockford,27.59,61114,Alpine Fireside Health Ctr,1062050,594300,22910,3650 North Alpine Rd,985517,alpine_fireside_health_center_2014_0018275.xml.xml,13445,18275,42.31416,-89.029265
821 WASHINGTON AVE ALTON IL 62002,ALTON,27.48,62002,ALTON BLUFFS ESTATE,0,0,5548,821 WASHINGTON AVE,0,alton_bluffs_estate_2014_0035907.xml.xml,1550,35907,38.89333,-90.155732
One Memorial Drive Alton IL 62002,Alton,33.99,62002,Alton Mem Hsp Hatch Sk N W,118548,57244,4202,One Memorial Drive,1931918,alton_mem_hsp_hatch_sk_n_w_2014_8000267.xml.xml,22624,8000267,38.9005,-90.157285
3523 Wichenhauser Alton IL 62002,Alton,25.22,62002,Alton Rehab & Nursing Center,3003156,301342,39089,3523 Wichenhauser,2084131,alton_rehab_and_nursing_center_2014_0051334.xml.xml,13202,51334,38.939532,-90.124504
1000A West Michigan Jacksonville IL 62650,Jacksonville,0,62650,Alvin Eades Center,0,0,5548,1000A West Michigan,0,alvin_eades_center_2014_0040220.xml.xml,0,40220,39.716072,-90.244609
4900 N Bernard Chicago IL 60625,Chicago,30.23,60625,Ambassador Nsg & Rehab Ctr,7352446,300432,53643,4900 N Bernard,2130196,ambassador_nsg_rehab_center_2014_0049924.xml.xml,27879,49924,41.97021,-87.714636
2313 N ROCKTON AVE ROCKFORD IL 61103,ROCKFORD,27.46,61103,AMBERWOOD CARE CENTRE,4089017,543838,42241,2313 N ROCKTON AVE,2136195,amberwood_care_centre_2014_0052191.xml.xml,14609,52191,42.297244,-89.096677
200 West Hawley Amboy IL 61310,Amboy,25.65,61310,Amboy Terrace,0,0,5460,200 West Hawley,0,amboy_terrace_2014_0036715.xml.xml,207,36715,41.720491,-89.337622
4636 WEST ANDOVER DR PEORIA IL 61615,PEORIA,21.27,61615,ANDOVER,1010304,0,5500,4636 WEST ANDOVER DR,0,andover_2014_0038208.xml.xml,547,38208,40.75949,-89.667312
315 S Brady Mill Rd Anna IL 62906,Anna,18.88,62906,Anna Rehab and Nrsg Center,937245,256852,16872,315 S Brady Mill Rd,1148579,anna_rehab_and_nrsg_center_2014_0051011.xml.xml,2942,51011,37.453105,-89.23591
408 Anna Street Jacksonville IL 62650,Jacksonville,0,62650,Anna Terrace,947328,77137,5481,408 Anna Street,0,anna_terrace_2014_0038836.xml.xml,0,38836,39.729245,-90.234055
900 E Corporation St Bridgeport IL 62417,Bridgeport,23.67,62417,Aperion Care Bridgeport,1821304,566828,22079,900 E Corporation St,1481886,aperion_care_bridgeport_2014_0052688.xml.xml,13063,52688,38.71196,-87.749963
5701 W 79th Street Burbank IL 60459,Burbank,32.59,60459,Aperion Care Burbank,2068598,170168,19611,5701 W 79th Street,2995607,aperion_care_burbank_2014_0048496.xml.xml,5042,48496,41.748761,-87.763233
490 West 16th Place Chicago Heights IL 60411,Chicago Heights,30.48,60411,Aperion Care Chicago Heights,8995853,28125,70154,490 West 16th Place,0,aperion_care_chicago_heights_2014_0049940.xml.xml,9751,49940,41.501264,-87.6637
2650 North Monroe Decatur IL 62526,Decatur,27.14,62526,Aperion Care Decatur,4397927,335295,40883,2650 North Monroe,1010016,aperion_care_decatur_2014_0051482.xml.xml,13435,51482,39.871049,-88.963627
14325 S Blackstone Dolton IL 60419,Dolton,29.13,60419,Aperion Care Dolton,3607774,38790,26847,14325 S Blackstone,1970371,aperion_care_dolton_2014_0051151.xml.xml,4862,51151,41.634467,-87.580794
1300 Oak Avenue Evanston IL 60201,Evanston,30.16,60201,Aperion Care Evanston,2642288,51424,19837,1300 Oak Avenue,1696996,aperion_care_evanston_2014_0048454.xml.xml,12468,48454,42.041253,-87.68695
8200 W Roosevelt Rd Forest Park IL 60130,Forest Park,31.01,60130,Aperion Care Forest Park,7307667,291998,59354,8200 W Roosevelt Rd,5896440,aperion_care_forest_park_2014_0049247.xml.xml,20051,49247,41.863672,-87.867765
50 Pleasant Avenue Highwood IL 60040,Highwood,30.79,60040,Aperion Care Highwood,2964936,1132463,30012,50 Pleasant Avenue,2945354,aperion_care_highwood_2014_0048330.xml.xml,16477,48330,42.197313,-87.81441
4815 S Western Ave Chicago IL 60609,Chicago,31.29,60609,Aperion Care International,5901748,326481,57916,4815 S Western Ave,10679519,aperion_care_international_2014_0050187.xml.xml,29299,50187,41.808299,-87.684346
1021 North Church St Jacksonville IL 62650,Jacksonville,23.54,62650,Aperion Care Jacksonville,2640536,69142,24172,1021 North Church St,684907,aperion_care_jacksonville_2014_0051094.xml.xml,2564,51094,39.745809,-90.234025
1024 East Tyler Litchfield IL 62056,Litchfield,28.17,62056,Aperion Care Litchfield,2264167,64325,21819,1024 East Tyler,0,aperion_care_litchfield_2014_0051102.xml.xml,5190,51102,39.169465,-89.643849
3249 West 147th St Midlothian IL 60445,Midlothian,32.02,60445,Aperion Care Midlothian,4023938,23868,31086,3249 West 147th St,667492,aperion_care_midlothian_2014_0049858.xml.xml,4026,49858,41.625855,-87.700743
9401 S Ridgeland Ave Oak Lawn IL 60453,Oak Lawn,30.98,60453,Aperion Care Oak Lawn,6003452,463534,42616,9401 S Ridgeland Ave,2633812,aperion_care_oak_lawn_2014_0050500.xml.xml,13316,50500,41.721409,-87.780011
24 S Plum Grove Road Palatine IL 60067,Palatine,29.01,60067,Aperion Care Plum Grove,2595517,605706,22812,24 S Plum Grove Road,1376710,aperion_care_plum_grove_2014_0050484.xml.xml,10079,50484,42.109445,-88.043759
525 South MLK Drive Springfield IL 62703,Springfield,20.77,62703,Aperion Care Springfield,2230459,124960,22544,525 South MLK Drive,0,aperion_care_springfield_2014_0051086.xml.xml,4154,51086,39.762206,-89.627547
221 East Cumberland St Elmo IL 62458,St Elmo,19.57,62458,Aperion Care St Elmo,1322990,604864,15949,221 East Cumberland,752181,aperion_care_st_elmo_2014_0052696.xml.xml,4441,52696,39.024409,-88.84668
555 West Kahler Wilmington IL 60481,Wilmington,25.22,60481,Aperion Care Wilmington,5201528,724722,54334,555 West Kahler,1739010,aperion_care_wilmington_2014_0052506.xml.xml,19632,52506,41.298121,-88.148893
2125 Veterans Road Morton IL 61550,Morton,26.71,61550,Apos Christian Timber Ridge,0,0,25524,2125 Veterans Road,0,apos_christian_timber_ridge_2014_0016220.xml.xml,15005,16220,40.633691,-89.478711
610 Cruger Eureka IL 61530,Eureka,,61530,Apostolic Chr Home of Eureka,722259,5931310,36554,610 Cruger,116110,apostolic_chr_home_of_eureka_2014_0012328.xml.xml,,12328,40.719192,-89.328141
1102 W Randolph Bx530 Roanoke IL 61561,Roanoke,,61561,Apostolic Christian Home,-786260,4333187,19963,1102 W Randolph Bx530,214692,apostolic_christian_home_2014_0021493.xml.xml,,21493,40.794768,-89.210087
1500 Parkside Avenue Morton IL 61550,Morton,28.85,61550,Apostolic Christian Restmor,0,0,43306,1500 Parkside Avenue,0,apostolic_christian_restmor_2014_0047167.xml.xml,36001,47167,40.597857,-89.453491
7023 NE Skyline Dr Peoria IL 61614,Peoria,,61614,Apostolic Christian Skylines,438607,4432496,20837,7023 NE Skyline Dr,305307,apostolic_christian_skylines_2014_0006353.xml.xml,,6353,40.771833,-89.575974
21020 Kostner Avenue Matteson IL 60443,Matteson,30.62,60443,Applewood Rehabilitation Ctr,3914349,363735,35262,21020 Kostner Avenue,784907,applewood_rehabilitation_ctr_2014_0051359.xml.xml,15900,51359,41.506166,-87.722749
402 SOUTH HARRISON COLFAX IL 61728,COLFAX,28.11,61728,ARBA CARE CENTER OF COLFAX,724755,234989,7324,402 SOUTH HARRISON,358637,arba_care_center_of_colfax_2014_0052969.xml.xml,1978,52969,40.561933,-88.612902
134 N MCLEAN BLVD ELGIN IL 60123,ELGIN,31.7,60123,ARBA CARE CENTER OF ELGIN,2088186,88910,15759,134 N MCLEAN BLVD,856419,arba_care_center_of_elgin_2014_0052985.xml.xml,5950,52985,42.038498,-88.311953
101 E VIA GHIGLIERI TOLUCA IL 61369,TOLUCA,24,61369,ARBA CARE CENTER OF TOLUCA,1469043,107723,13489,101 E VIA GHIGLIERI,559828,arba_care_center_of_toluca_2014_0052977.xml.xml,6250,52977,41.011315,-89.133948
1509 N CALHOUN ST BLOOMINGTON IL 61701,BLOOMINGTON,25.38,61701,ARBA CARE CTR OF BLOOMINGTON,2189624,280533,17835,1509 N CALHOUN ST,239844,arba_care_ctr_of_bloomington_2014_0052951.xml.xml,7000,52951,40.492244,-89.005784
1512 West Fargo Chicago IL 60626,Chicago,28.29,60626,Arbour Health Care Center,4047393,72895,34077,1512 West Fargo,108371,arbour_health_care_center_2014_0034736.xml.xml,10791,34736,42.017189,-87.668372
422 E 4th South St Arcola IL 61910,Arcola,26.32,61910,Arcola Health Care Center,0,0,27464,422 E 4th South St,0,arcola_health_care_center_2014_0053074.xml.xml,3091,53074,39.677143,-88.303303
4600 N Frontage Road Hillside IL 60162,Hillside,33.97,60162,Aria Post Acute Care,7398627,343135,62536,4600 N Frontage Road,1702635,aria_post_acute_care_2014_0052019.xml.xml,40957,52019,41.873818,-87.899403
423 Eberhardt Drive Arthur IL 61911,Arthur,24.26,61911,The Arthur Home,1095119,1162861,16746,423 Eberhardt Drive,791186,arthur_home_2014_0005462.xml.xml,4090,5462,39.711292,-88.477033
212 Airport Road North Aurora IL 60542,North Aurora,29.25,60542,Asbury Gardens Nrsg  Rehab,0,163540,968,212 Airport Road,87987,asbury_gardens_nrsg_rehab_2014_0051193.xml.xml,3958,51193,41.798209,-88.325283
307 Alan Street Ashton IL 61006,Ashton,26.15,61006,Ashton Terrace,0,0,5820,307 Alan Street,0,ashton_terrace_2014_0036822.xml.xml,189,36822,41.864438,-89.229669
1403 9th Avenue Silvis IL 61282,Silvis,22.87,61282,Aspen Rehab & Hlth Care Ctr,1880077,266895,16568,1403 9th Avenue,0,aspen_rehab_health_care_ctr_2014_0053496.xml.xml,2735,53496,41.500941,-90.415554
829 Carillon Drive Bartlett IL 60103,Bartlett,27.89,60103,Assisi Hlth CC at Clare Oaks,915147,3450972,34757,829 Carillon Drive,2262713,assisi_health_cc_at_clare_oaks_2014_0047613.xml.xml,53429,47613,41.995564,-88.233066
6300 N California Chicago IL 60659,Chicago,27.41,60659,Astoria Place Living  Rehab,8223607,931836,55988,6300 N California,3063224,astoria_place_living_rehab_2014_0050799.xml.xml,31632,50799,41.99577,-87.699576
1425 West Estes Ave Chicago IL 60626,Chicago,27.05,60626,Atrium Health Care Center,6682456,73700,54316,1425 West Estes Ave,1353158,atrium_health_care_center_2014_0033977.xml.xml,11603,33977,42.011472,-87.666651
304 Maple Avenue Auburn IL 62615,Auburn,24.88,62615,Auburn Rehab & HCC,1650882,727683,22544,304 Maple Avenue,380912,auburn_rehab_hcc_2014_0047076.xml.xml,7728,47076,39.594927,-89.743866
3515 Theodore Street Joliet IL 60435,Joliet,28.27,60435,Autumn Lake,928197,0,5284,3515 Theodore Street,2470,autumn_lake_2014_0040105.xml.xml,1088,40105,41.550934,-88.165621
1666 Rfd Checker Rd Long Grove IL 60047,Long Grove,28.97,60047,Avantara Long Grove,6145147,832625,55671,1666 Rfd Checker Rd,-731290,avantara_long_grove_2014_0052639.xml.xml,30421,52639,42.160517,-88.007841
6840 West Touhy Ave Niles IL 60714,Niles,31.02,60714,Avanti Wellness & Rehab,5207805,1516236,50921,6840 West Touhy Ave,939132,avanti_wellness_rehab_2014_0045534.xml.xml,30178,45534,42.012571,-87.797253
450 West 1st Street Aviston IL 62216,Aviston,23.32,62216,Aviston Countryside Manor,2061972,1638268,29652,450 West 1st Street,611020,aviston_countryside_manor_2014_0033407.xml.xml,16496,33407,38.607542,-89.61012
349 West First St Aviston IL 62216,Aviston,22.31,62216,Aviston Terrace,546722,0,4616,349 West First St,0,aviston_terrace_2014_0036749.xml.xml,384,36749,38.607597,-89.609079
2055 W Balmoral Ave Chicago IL 60625,Chicago,26.74,60625,Balmoral Home,0,0,72142,2055 W Balmoral Ave,0,balmoral_home_2014_0039966.xml.xml,21809,39966,41.979572,-87.680805
1313 PRATT STREET BARRY IL 62312,BARRY,24.06,62312,BARRY COMMUNITY CARE CENTER,1298305,997191,18976,1313 PRATT STREET,182680,barry_community_care_center_2014_0017590.xml.xml,6968,17590,39.690891,-91.03424
520 Fabyan Parkway Batavia IL 60510,Batavia,30.61,60510,Batavia Rehab & Hlth Cr Ctr,2351864,230239,19147,520 Fabyan Parkway,0,batavia_rehab_hlth_care_ctr_2014_0047399.xml.xml,4099,47399,41.864041,-88.317508
1100 South Lewis Ave Waukegan IL 60085,Waukegan,31.26,60085,Bayside Terrace,5572958,140410,54133,1100 South Lewis Ave,0,bayside_terrace_2014_0023036.xml.xml,14967,23036,42.342284,-87.855826
4838 Beacon Drive Decatur IL 62521,Decatur,0,62521,Beacon Street Place,0,0,5224,4838 Beacon Drive,0,beacon_street_place_2014_0038729.xml.xml,0,38729,39.827961,-88.880605
300 East Eighth St Beardstown IL 62618,Beardstown,0,62618,Beardstown Terrace,575935,91206,5780,300 East Eighth St,0,beardstown_terrace_2014_0035766.xml.xml,0,35766,40.013726,-90.429115
1201 Dixie Highway Beecher IL 60401,Beecher,30.51,60401,Beecher Manor N & R Ctr,3500384,1632727,39649,1201 Dixie Highway,713041,beecher_manor_nrsg_rehab_ctr_2014_0047738.xml.xml,22807,47738,41.352085,-87.621354
11401 S Oakley Ave Chicago IL 60643,Chicago,29.62,60643,Belhaven Nursing & Rehab Ctr,9456326,1594047,67678,11401 S Oakley Ave,2637675,belhaven_nursing_rehab_ctr_2014_0048215.xml.xml,11995,48215,41.686133,-87.678776
225 WEST B STREET BELLEVILLE IL 62220,BELLEVILLE,27.19,62220,BELLE MANOR,626233,0,5453,225 WEST B STREET,0,belle_manor_2014_0051961.xml.xml,325,51961,38.515636,-89.987577
98 Debra Lane Waterloo IL 62298,Waterloo,0,62298,Bellefontaine Place,512028,103564,5344,98 Debra Lane,0,bellefontaine_place_2014_0033993.xml.xml,0,33993,38.327578,-90.149745
105 EASTERN AVENUE BELLWOOD IL 60104,BELLWOOD,23.86,60104,BELLWOOD DEVELOPMENTAL CTR,4458295,63153,28297,105 EASTERN AVENUE,0,bellwood_developmental_center_2014_0051904.xml.xml,10005,51904,41.889759,-87.873585
1936 W BELMONT AVE CHICAGO IL 60657,CHICAGO,27.68,60657,BELMONT NURSING HOME,1767969,1179,18400,1936 W BELMONT AVE,0,belmont_nursing_home_2014_0024968.xml.xml,1683,24968,41.939665,-87.676794
601 North Morgan Bement IL 61813,Bement,24.8,61813,Bement Health Care Center,832656,564619,11629,601 North Morgan,115180,bement_health_care_center_2014_0053173.xml.xml,3698,53173,39.926327,-88.57482
14245 W Rockland Bx 520 Libertyville IL 60048,Libertyville,0,60048,Benjamin Green Field Residence,0,0,5316,14245 W Rockland Bx 520,0,benjamin_green_field_residence_2014_0041582.xml.xml,0,41582,42.280044,-87.908769
1409 N Main St Bx847 Benton IL 62812,Benton,20.05,62812,Benton Rehab & Hlth Care Ctr,1273470,147018,13626,1409 N Main St Bx847,559300,benton_rehab_health_care_ctr_2014_0047407.xml.xml,1898,47407,38.010693,-88.920697
6909 West North Ave Oak Park IL 60302,Oak Park,33.39,60302,Berkeley Nrsg & Rehab Center,2372178,126469,21505,6909 West North Ave,1174692,berkeley_nrsg_rehab_center_2014_0050534.xml.xml,1405,50534,41.908898,-87.798752
815 South Prairie St Bethalto IL 62010,Bethalto,22.32,62010,Bethalto Care Center,0,0,24698,815 South Prairie St,0,bethalto_care_center_2014_0021584.xml.xml,3227,21584,38.898789,-90.040387
3298 Resource Prkway Dekalb IL 60115,Dekalb,26.55,60115,Bethany Rehab & HCC,2182272,1149225,29284,3298 Resource Prkway,1005313,bethany_rehab_hcc_2014_0048934.xml.xml,33242,48934,41.967157,-88.726239
2833 N Nordica Ave Chicago IL 60634,Chicago,28.62,60634,Bethesda Home  Retire Ctr,1121142,3657031,29207,2833 N Nordica Ave,504430,bethesda_home_retirement_ctr_2014_0012229.xml.xml,14773,12229,41.931702,-87.802864
1205 South Spencer Aurora IL 60505,Aurora,34.45,60505,Bethesda Luth C Montgomery,0,0,3917,1205 South Spencer,0,bethesda_lutheran_c_montgomery_2014_0034587.xml.xml,2451,34587,41.732931,-88.305668
14907 S Eastern Ave Plainfield IL 60544,Plainfield,32.91,60544,Bethesda Luth C Plainfield,431695,26520,3808,14907 S Eastern Ave,0,bethesda_lutheran_c_plainfield_2014_0034967.xml.xml,1543,34967,41.611559,-88.196385
1761 Woodgate Drive Sycamore IL 60178,Sycamore,32.1,60178,Bethesda Luth C Sycamore,499276,0,4298,1761 Woodgate Drive,0,bethesda_lutheran_c_sycamore_2014_0035303.xml.xml,1873,35303,41.978325,-88.712044
12927 South Monitor Palos Heights IL 60463,Palos Heights,26.36,60463,Bethshan Association,2294873,0,16114,12927 South Monitor,0,bethshan_association_2014_0027086.xml.xml,8730,27086,41.657053,-87.763986
6301 HUMBERT ROAD GODFREY IL 62035,GODFREY,21.37,62035,BEVERLY FARM FOUNDATION,0,0,94742,6301 HUMBERT ROAD,0,beverly_farm_foundation_2014_0038604.xml.xml,21009,38604,38.956981,-90.180965
1000 LONGMOOR SAVANNA IL 61074,SAVANNA,25.39,61074,BIG MEADOWS,2288497,1112298,22473,1000 LONGMOOR,0,big_meadows_2014_0021394.xml.xml,12955,21394,42.095711,-90.139854
1426 W BIRCHWOOD CHICAGO IL 60626,CHICAGO,31.11,60626,BIRCHWOOD PLAZA,5904738,2425480,63123,1426 W BIRCHWOOD,2584556,birchwood_plaza_2014_0028696.xml.xml,30285,28696,42.018194,-87.666495
15841 TERRACE DRIVE OAK FOREST IL 60452,OAK FOREST,3,60452,BJORKLUND HOUSE,0,0,5718,15841 TERRACE DRIVE,0,bjorkland_house_2014_0039149.xml.xml,1157,39149,41.605012,-87.764992
735 North Dixon Dixon IL 61021,Dixon,25.29,61021,Blackhawk Group Home,0,0,4928,735 North Dixon,0,blackhawk_group_home_2014_0034785.xml.xml,207,34785,41.854278,-89.483099
1925 South Main St Bloomington IL 61701,Bloomington,27.78,61701,Bloomington Rehab & HCC,1910210,299054,19429,1925 South Main St,290605,bloomington_rehabilitation_hcc_2014_0047415.xml.xml,6872,47415,40.456687,-88.99289
133 Mohawk Drive Bourbonnais IL 60914,Bourbonnais,25.55,60914,Bourbonnais Terrace N H,4085095,129812,44374,133 Mohawk Drive,0,bourbonnais_terrace_n_h_2014_0051631.xml.xml,4619,51631,41.167211,-87.874208
110 South Boyd Ave Amboy IL 61310,Amboy,25.3,61310,Boyd Avenue Home,0,0,5729,110 South Boyd Ave,0,boyd_avenue_home_2014_0040188.xml.xml,207,40188,41.714036,-89.340269
1115 E Washington St Greenville IL 62246,Greenville,0,62246,Brauns Terrace,543581,143803,5733,1115 E Washington St,0,brauns_terrace_2014_0035402.xml.xml,0,35402,38.888033,-89.398657
1155 North First St Breese IL 62230,Breese,24.05,62230,Breese Nursing Home,1320672,1681260,26742,1155 North First St,371948,breese_nursing_home_2014_0036012.xml.xml,11477,36012,38.607545,-89.520466
